Event Name,Place Name,Description,Day,Address,Phone Number,URL,Suburb,Tags,Latitude,Longitude
English Connect,English Conversation Club at Southbank Library,"Come along for informal English conversation practice, meet new people and improve your English language skills. All sessions are free and facilitated by a native speaking volunteer.",Monday,"Southbank Library at Boyd, 207 City Road, Southbank, , Victoria, Australia",9658 8300,"boyd@melbourne.vic.gov.au, melbourne.vic.gov.au",Southbank,[Lifelong Learning],-37.82577,144.96116
A Walk in the Flagstaff Gardens,A Walk in the Flagstaff Gardens,Join expert tour guides from the Royal Historical Society of Victoria on a guided walk through the beautiful Flagstaff Gardens. Visitors will climb Flagstaff Hill to consider its place in Melbourne topography and pre-European history as well as its early role as a burial ground.,Monday,"Royal Historical Society of Victoria, 239 Aâ€™Beckett Street, Melbourne, , Victoria, Australia",9326 9288,"office@historyvictoria.org.au, historyvictoria.org.au/rhsvwalking-tours",East Melbourne,"[Health and Wellbeing, Lifelong Learning]",-37.78864,144.95848
Chinese Seniors Social,Chinese Community Healthy Advisory of Australia,"Take part in community activities for Chinese seniors including information sessions, physical exercise, meals and outings. Language spoken by participants is Cantonese and Mandarin.",Friday,"Multicultural Hub, 506 Elizabeth Street, Melbourne, , Victoria, Australia",9658 9190,healthyageing@melbourne.vic.gov.au,Melbourne,"[Health and Wellbeing, Social Groups]",-37.80693,144.96007
Spanish seniors gathering,Federation of Spanish Speaking Senior Citizens in Victoria,"Join in meals, cultural, social and educational activities. Language spoken by participants is Spanish.",Thursday ,"Ross House, 247-251 Flinders Lane, Melbourne, , Victoria, Australia",9650 1210,spanishfeder@yahoo.com.au,Melbourne,[Social Groups],-37.81699,144.96617
Chinese Qigong,Health Qigong,"Activate your mind, body and soul with this Chinese system of physical exercise and breathing control, related to tai chi.",Friday ,"Federation Square. The Square, corner of Swanston and Flinders Street, Melbourne, , Victoria, Australia",9889 9999,"info@taichiaustralia.com.au, taichiaustralia.com.au",Melbourne,[Health and Wellbeing],-37.81739044189453,144.96751403808594
Meditation,Meditation,"Escape the stress and busyness of city life to discover the peace of meditation in 30 minute meditation sessions. Be guided through simple meditations that relax the mind and body, leading to a deep experience of inner peace and contentment. All ages and beginners welcome.",Tuesday,"Federation Square, Corner Flinders and Swanston Street, Melbourne, , Victoria, Australia",9670 6369,"info@meditateinmelbourne.org, meditateinmelbourne.org",Melbourne,[Health and Wellbeing],-37.81647,144.96698
Arabic Church seniors meals and social,St Nicholas Antiochian Orthodox Church Senior Citizens Group,Join in meals and social activities. Language spoken by participant is Arabic.,Tuesday ,"St Nicholas Antiochian Orthodox Church, 176 Simpson Street, East Melbourne, , Victoria, Australia",9417 2266,"info@stnicholas.org.au, stnicholas.org.au",East Melbourne,[Social Groups],-37.8123664855957,144.98037719726562
Tai Chi for Health,Tai Chi for Health,Experience the calming qualities of tai chi with a qualified instructor. Please note these sessions are delivered by different providers.,Tuesday,"Federation Square. The Square, Corner of Swanston and Flinders streets, Melbourne, , Victoria, Australia",9889 9999,"info@taichiaustralia.com.au, taichiaustralia.com.au",Melbourne,[Health and Wellbeing],-37.81739044189453,144.96751403808594
Thursday Lunchtime Organ Recitals,Thursday Lunchtime Organ Recitals,"Every Thursday, the grand organ comes to life for a free 30 minute recital.",Thursday ,"St Michaelâ€™s Uniting Church, 120 Collins Street, Melbourne, , Victoria, Australia",9654 5120,"office@stmichaels.org.au, stmichaels.org.au",Melbourne,[Arts and Culture],-37.98069,145.06697
East African Elders Association,East African Elders Social,"Enjoy meals, outings and social activities with other men. If interested please attend on the day and speak to volunteer committee members. Language spoken by participant is Somali.",Sunday ,"Kensington Neighbourhood Centre, 18 Anthony Street, Kensington, , Victoria, Australia",9658 9190,healthyageing@melbourne.vic.gov.au,Kensington,[Social Groups],-37.78958,144.92829
Elderly Greek Social,Elderly Greek Club of Kensington and Flemington,"Share in meals, outings, games and other social activities. If interested please attend on the day and speak to volunteer committee members. Language spoken by participants is Greek.",Friday ,"Kensington Neighbourhood Centre, 18 Anthony Street, Kensington, , Victoria, Australia",9658 9190,healthyageing@melbourne.vic.gov.au,Kensington,[Social Groups],-37.78958,144.92829
Story of vietnamese elder refugees,Indochinese Elderly Refugees Association Vietnamese Elderly Social Group,Join in meals and social activities. Language spoken by participants is Vietnamese.,Wednesday ,"Community Hub, 94 Ormond Street, Kensington, , Victoria, Australia",9429 1307,"adminassistant@iera.org.au, iera.org.au",Kensington,[Social Groups],-37.79804,144.92746
Coptic elderly social,St Maryâ€™s Coptic Orthodox Church Social Support Program for Coptic Elderly People,"Take part in meals, information and planned activities. Language spoken by participants is Arabic.",Friday ,"5 Epsom Road, Kensington, , Victoria, Australia",0406 887 884,hisvine.com/church/25/St-Mary-Church,Kensington,[Social Groups],-37.79399,144.92718
Bingo Wednesday Social,Wednesday Social Group,Enjoy a two-course meal and bingo in the company of this friendly social group. Weekly lunches alternate with a bus trip once a month.,Wednesday ,"Kensington Neighbourhood House, 89 McCracken Street, Kensington, , Victoria, Australia",9376 6366,"info@kenhouse.org.au, kensingtonneighbourhoodhouse.com",Kensington,[Social Groups],-37.79324,144.92793
Melrose Art,Melrose Art Group,Take part in weekly painting and craft activities for seniors from all cultural backgrounds.,Monday ,"Jean McKendry Neighbourhood Centre, 91-111 Melrose Street, North Melbourne, , Victoria, Australia",9328 1665 or mobile 0403 443 021,healthyageing@melbourne.vic.gov.au,North Melbourne,[Arts and Culture],-37.79292,144.94175
Nase Zene,Nase Zene,"Share in meals, celebrations, outings, information and socialising. Language spoken by participants is Serbo-Croatian.",Thursday ,"Jean McKendry Neighbourhood Centre, 91-111 Melrose Street, North Melbourne, , Victoria, Australia",0402 903 713,info@slavicwelfare.com.au,North Melbourne,[Social Groups],-37.79292,144.94175
Chinese get connected,North Melbourne Chinese Association,"Come along and join in line and social dancing, mahjong, cards, gentle exercise, table tennis, lion dancing and qigong. No contact details available. If interested please attend on the day and speak to volunteer committee members. Languages spoken by participants are Cantonese and Mandarin.",Wednesday ,"North Melbourne Community Centre, 49-53 Buncle Street, North Melbourne, , Victoria, Australia",9658 9190,https://nmcc.ymca.org.au/,North Melbourne,[Social Groups],-37.79311,144.93996
Spanish Elderly arts and crafts,Spanish (Speaking) Elderly Group of North Melbourne,"Enjoy meals, art and craft, outings and social activities. Language spoken by participants is Spanish.",Tuesday ,"Jean McKendry Neighbourhood Centre, 91-111 Melrose Street, North Melbourne, , Victoria, Australia",0403 358 346,evelyn.montalvo57@gmail.com,North Melbourne,[Social Groups],-37.79292,144.94175
