,Latitude,Longitude,Suburb,Address,Phone,Municipality,Categories
55,-38.30785043,145.19435180000005,Hastings,7 High Street  Hastings  3915,5950 1710,Mornington Peninsula Shire Council,"['Mornington Peninsula Shire Council', 'Hastings', 'Library']"
56,-37.82482659,145.03512980000005,Hawthorn,584 Glenferrie Road  Hawthorn  3122,9278 4666,Boroondara City Council,"['Boroondara City Council', 'Hawthorn', 'Library']"
57,-37.65357046,145.51746830000005,Healesville,231 Maroondah Highway  Healesville  3777,5962 4423,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Healesville', 'Library']"
58,-37.94907561,145.0433521,Highett,310 Highett Road  Highett  3190,1300 135 668,Bayside City Council,"['Bayside City Council', 'Highett', 'Library']"
59,-37.94907561,145.0433521,Highett,310 Highett Road  Highett  3190,1300 135 668,Kingston City Council,"['Kingston City Council', 'Highett', 'Library']"
60,-37.76522858,145.0455321,Ivanhoe,255 Upper Heidelberg Road  Ivanhoe  3079,9497 5780,Banyule City Council,"['Banyule City Council', 'Ivanhoe', 'Library']"
61,-37.719489,144.833112,Keilor,Kennedy Street  Keilor  3036,9336 4191,Brimbank City Council,"['Brimbank City Council', 'Keilor', 'Library']"
62,-37.719489,144.833112,Keilor,Kennedy Street  Keilor  3036,9336 4191,Hume City Council,"['Hume City Council', 'Keilor', 'Library']"
63,-37.807651,145.03448799999995,Kew,Cotham Road and Civic Drive  Kew  3101,9278 4677,Boroondara City Council,"['Boroondara City Council', 'Kew', 'Library']"
64,-37.29441653,144.95185680000003,Kilmore,12 Sydney St  Kilmore  3764,5782 1322,Mitchell Shire Council,"['Mitchell Shire Council', 'Kilmore', 'Library']"
65,-37.67289571,145.0177646,Lalor,2A May Road  Lalor  3075,9465 2353,Whittlesea City Council,"['Whittlesea City Council', 'Lalor', 'Library']"
66,-37.760056,145.353404,Lilydale,Anderson Street  Lilydale  3140,9294 3120,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Lilydale', 'Library']"
67,-37.85677379,145.0317489,Malvern,1255 High Street  Malvern  3144,8290 1366,Stonnington City Council,"['Stonnington City Council', 'Malvern', 'Library']"
68,-37.68479291,144.5823561,Melton,31 McKenzie Street  Melton  3337,9743 1168,Melton City Council,"['Melton City Council', 'Melton', 'Library']"
69,-37.849926,144.96215,Middle Park,Cnr Nimmo and Richardson Streets  Middle Park  3206,9209 6633,Port Phillip City Council,"['Port Phillip City Council', 'Middle Park', 'Library']"
70,-37.65983185,145.0745429,Mill Park,394 Plenty Road  Mill Park  3082,9437 8189,Whittlesea City Council,"['Whittlesea City Council', 'Mill Park', 'Library']"
71,-37.81069,145.344717,Montrose,Cnr Mt Dandenong Tourist & Swansea Roads  Montrose  3765,9728 4224,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Montrose', 'Library']"
72,-37.76469952,144.92504509999995,Moonee Ponds,762-4 Mt Alexander Road  Moonee Ponds  3039,8325 1950,Moonee Valley City Council,"['Moonee Valley City Council', 'Moonee Ponds', 'Library']"
73,-37.934082,145.038011,Moorabbin,Shop 5  Taylor St  Moorabbin  3189,1300 135 668,Kingston City Council,"['Kingston City Council', 'Moorabbin', 'Library']"
74,-37.78625114,145.31232219999995,Mooroolbark,7 Station Street  Mooroolbark  3138,9726 8200,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Mooroolbark', 'Library']"
75,-38.217578,145.03651100000005,Mornington,Cnr Queen & Vancouver Streets  Mornington  3931,5950 1820,Mornington Peninsula Shire Council,"['Mornington Peninsula Shire Council', 'Mornington', 'Library']"
76,-37.784955,145.378683,Mount Evelyn,Wray Crescent  Mount Evelyn  3796,9736 3851,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Mount Evelyn', 'Library']"
77,-37.87511471,145.12458930000003,Mount Waverley,41 Miller Crescent  Mount Waverley  3149,9807 1022,Monash City Council,"['Monash City Council', 'Mount Waverley', 'Library']"
78,-38.01931,145.30199,Narre Warren,Overland Drive   Narre Warren  3805,(03) 9704 7696,Casey City Council,"['Casey City Council', 'Narre Warren', 'Library']"
79,-37.84147961,144.873683,Newport,13 Mason Street  Newport  3015,9932 2050,Hobsons Bay City Council,"['Hobsons Bay City Council', 'Newport', 'Library']"
80,-37.73615698,144.8889294,Niddrie,483 Keilor Road  Niddrie  3042,8325 1925,Moonee Valley City Council,"['Moonee Valley City Council', 'Niddrie', 'Library']"
81,-37.7697223,145.00083069999997,Northcote,32-38 Separation Street  Northcote  3070,1300 655 355,Darebin City Council,"['Darebin City Council', 'Northcote', 'Library']"
82,-37.80355018,144.9497854,North Melbourne,66 Errol Street  North Melbourne  3051,9658 9700,Melbourne City Council,"['Melbourne City Council', 'North Melbourne', 'Library']"
83,-37.81771962,145.18144880000003,Nunawading,379 Whitehorse Road  Nunawading  3131,9873 5638,Whitehorse City Council,"['Whitehorse City Council', 'Nunawading', 'Library']"
84,-37.81771962,145.18144880000003,Nunawading,379 Whitehorse Road  Nunawading  3131,9873 5638,Manningham City Council,"['Manningham City Council', 'Nunawading', 'Library']"
85,-37.89739163,145.0902037,Oakleigh,148 Drummond Street  Oakleigh  3166,9563 4138,Monash City Council,"['Monash City Council', 'Oakleigh', 'Library']"
86,-37.99338747,145.07768330000005,Parkdale,96 Parkers Road  Parkdale  3195,1300 135 668,Kingston City Council,"['Kingston City Council', 'Parkdale', 'Library']"
87,-37.83573218,144.944679,Port Melbourne,333 Bay Street  Port Melbourne  3207,9209 6644,Melbourne City Council,"['Melbourne City Council', 'Port Melbourne', 'Library']"
88,-37.83573218,144.944679,Port Melbourne,333 Bay Street  Port Melbourne  3207,9209 6644,Port Phillip City Council,"['Port Phillip City Council', 'Port Melbourne', 'Library']"
89,-37.74017311,145.005606,Preston,266 Gower Street  Preston  3070,1300 655 355,Darebin City Council,"['Darebin City Council', 'Preston', 'Library']"
90,-37.71510422,145.0055983,Reservoir,17-21 Ralph Street  Reservoir  3073,1300 655 355,Darebin City Council,"['Darebin City Council', 'Reservoir', 'Library']"
91,-37.82519539,144.9982977,Richmond,415 Church Street  Richmond  3121,1300 695 427,Yarra City Council,"['Yarra City Council', 'Richmond', 'Library']"
92,-37.81504283,145.22851809999997,Ringwood,4 Melbourne Street S  Ringwood  3134,9870 0177,Maroondah City Council,"['Maroondah City Council', 'Ringwood', 'Library']"
93,-37.742988,145.067225,Rosanna,Turnham Avenue  Rosanna  3084,9459 6171,Banyule City Council,"['Banyule City Council', 'Rosanna', 'Library']"
94,-38.357336,144.904627,Rosebud,MacDowell Street  Rosebud  3939,5950 1230,Mornington Peninsula Shire Council,"['Mornington Peninsula Shire Council', 'Rosebud', 'Library']"
95,-37.919743,145.237253,Rowville,Stud Rd  Rowville  3178,9294 1300,Knox City Council,"['Knox City Council', 'Rowville', 'Library']"
96,-37.948849,145.00256000000005,Sandringham,Waltham Street  Sandringham  3191,9533 1894,Bayside City Council,"['Bayside City Council', 'Sandringham', 'Library']"
97,-37.03090355,145.1468516,Seymour,125 Anzac Avenue  Seymour  3660,5792 1861,Mitchell Shire Council,"['Mitchell Shire Council', 'Seymour', 'Library']"
98,-37.78752639,145.1240868,Doncaster,,,Manningham City Council,"['Manningham City Council', 'Doncaster', 'Library']"
99,-38.22463319,145.1771129,Somerville,1085 Frankston Flinders Road  Somerville  3912,5950 1700,Mornington Peninsula Shire Council,"['Mornington Peninsula Shire Council', 'Somerville', 'Library']"
100,-37.9473157,145.15310780000004,Springvale,411 Springvale Road  Springvale  3171,9239 5398,Greater Dandenong City Council,"['Greater Dandenong City Council', 'Springvale', 'Library']"
101,-37.74179825,144.8006987,St Albans,71A Alfrieda Street  St Albans  3021,9366 4653,Brimbank City Council,"['Brimbank City Council', 'St Albans', 'Library']"
102,-37.86799981,144.9888216,St Kilda,150 Carlisle Street  St Kilda  3182,9209 6655,Port Phillip City Council,"['Port Phillip City Council', 'St Kilda', 'Library']"
103,-37.58048400000001,144.73511000000005,Sunbury,Macedon Street  Sunbury  3429,9744 2991,Hume City Council,"['Hume City Council', 'Sunbury', 'Library']"
104,-37.78331285,144.8321406,Sunshine,301 Hampshire Road  Sunshine  3020,9249 4040,Brimbank City Council,"['Brimbank City Council', 'Sunshine', 'Library']"
105,-37.67621958,145.005103,Thomastown,52 Main Street  Thomastown  3074,9464 1864,Whittlesea City Council,"['Whittlesea City Council', 'Thomastown', 'Library']"
106,-37.70224088,144.8736272,Tullamarine,59 Spring Street  Tullamarine  3043,9338 9407,Moreland City Council,"['Moreland City Council', 'Tullamarine', 'Library']"
107,-37.70224088,144.8736272,Tullamarine,59 Spring Street  Tullamarine  3043,9338 9407,Brimbank City Council,"['Brimbank City Council', 'Tullamarine', 'Library']"
108,-37.70224088,144.8736272,Tullamarine,59 Spring Street  Tullamarine  3043,9338 9407,Hume City Council,"['Hume City Council', 'Tullamarine', 'Library']"
109,-37.854452,145.181337,Vermont South,Pavey Place  Vermont South  3133,9887 9646,Whitehorse City Council,"['Whitehorse City Council', 'Vermont South', 'Library']"
110,-37.41242,144.97808999999995,Wallan,Wellington Square  Wallan  3756,5783 3555,Mitchell Shire Council,"['Mitchell Shire Council', 'Wallan', 'Library']"
111,-37.71041544,145.0831915,Watsonia,4-6 Ibbottson Street  Watsonia  3087,9435 2397,Banyule City Council,"['Banyule City Council', 'Watsonia', 'Library']"
112,-37.87698,144.68209,Werribee,Cnr Heaths and Derrimut Roads  Werribee  3030,9748 9333,Wyndham City Council,"['Wyndham City Council', 'Werribee', 'Library']"
113,-37.90724132,145.19058700000005,Wheelers Hill,860 Ferntree Gully Road  Wheelers Hill  3150,9561 6211,Monash City Council,"['Monash City Council', 'Wheelers Hill', 'Library']"
114,-37.85851898,144.8962876,Williamstown,104 Ferguson Street  Williamstown  3018,9932 4170,Hobsons Bay City Council,"['Hobsons Bay City Council', 'Williamstown', 'Library']"
115,-37.782293,145.611898,Yarra Junction,Hoddle Street  Yarra Junction  3797,5967 1588,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Yarra Junction', 'Library']"
116,-37.82044843,144.8736464,Yarraville,32 Wembley Avenue  Yarraville  3013,9688 0294,Maribyrnong City Council,"['Maribyrnong City Council', 'Yarraville', 'Library']"
