Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Historical Information,Url,Categories
Yarra City Council,Mayorâs Park Tennis Courts and Clubhouse,Clifton Hill,-37.787996,144.994351,Netball,2.0,Synthetic,4. Good,"Female, Male",Hoddle Street Clifton Hill 3068,,,,"['Yarra City Council', 'Clifton Hill', 'Sports', 'Netball']"
Yarra City Council,Richmond Community Courts,Richmond,-37.817218,145.000351,Netball,2.0,Synthetic,3. Average,"Female, Male",Gleadell Street Richmond 3121,,,,"['Yarra City Council', 'Richmond', 'Sports', 'Netball']"
Yarra City Council,Ryanâs Reserve Netball and Tennis Facility and Pavilion,Burnley,-37.82731,145.00995600000000,Netball,4.0,Plexipave,3. Average,"Female, Male",Swan Street Burnley 3121,,,,"['Yarra City Council', 'Burnley', 'Sports', 'Netball']"
Yarra City Council,Atherton Gardens Reserve,Fitzroy,-37.80331500000000,144.979067,Soccer,1.0,Grass,,,Napier Street Fitzroy 3065,,,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Soccer']"
Yarra City Council,Coulson Reserve and Pavilion Soccer Pitch and Pavilion,Clifton Hill,-37.786385,144.99672900000000,Soccer,1.0,Grass,3. Average,"Male, Umpire/Officials",Queens Parade Clifton Hill 3068,,,,"['Yarra City Council', 'Clifton Hill', 'Sports', 'Soccer']"
Yarra City Council,Melbourne Royal Tennis,Richmond,-37.818473,144.990382,Tennis (Indoor),,,,,18 Sherwood Street Richmond 3121,,,,"['Yarra City Council', 'Richmond', 'Sports', 'Tennis']"
Moonee Valley City Council,Aberfeldie Park,Moonee Ponds,-37.763571,144.89985900000000,Australian Rules Football,2.0,Grass,2. Poor,"Female, Male, Umpire/Officials",2-50 Park Crescent Moonee Ponds 3039,,,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Football']"
Moonee Valley City Council,Boeing Reserve,Strathmore Heights,-37.715468,144.900555,Australian Rules Football,1.0,Grass,4. Good,Unisex,Boeing Road Strathmore Heights 3041,,,,"['Moonee Valley City Council', 'Strathmore Heights', 'Sports', 'Football']"
Moonee Valley City Council,Buckley Park,Essendon,-37.744173,144.896594,Australian Rules Football,2.0,Grass,3. Average,Unisex,Cooper Street Essendon 3040,,,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Football']"
Moonee Valley City Council,Canning Reserve,Avondale Heights,-37.768483,144.870675,Australian Rules Football,1.0,Grass,4. Good,Unisex,2 Canning Street Avondale Heights 3034,,,,"['Moonee Valley City Council', 'Avondale Heights', 'Sports', 'Football']"
Moonee Valley City Council,Clifton Park,Aberfeldie,-37.755988,144.891501,Australian Rules Football,1.0,Grass,3. Average,Unisex,7 Batman Street Aberfeldie 3040,,,,"['Moonee Valley City Council', 'Aberfeldie', 'Sports', 'Football']"
Moonee Valley City Council,Etzel Reserve,Airport West,-37.722084,144.875968,Australian Rules Football,1.0,Grass,3. Average,Unisex,29 Etzel Street Airport West 3042,,,,"['Moonee Valley City Council', 'Airport West', 'Sports', 'Football']"
Moonee Valley City Council,Lebanon Reserve,Strathmore,-37.727606,144.921249,Australian Rules Football,1.0,Grass,2. Poor,Male,10 Mascoma Street Strathmore 3041,,,,"['Moonee Valley City Council', 'Strathmore', 'Sports', 'Football']"
Moonee Valley City Council,Overland Reserve,Keilor East,-37.743552,144.85726200000000,Australian Rules Football,3.0,Grass,3. Average,Male,7a Parkside Avenue Keilor East 3033,,,,"['Moonee Valley City Council', 'Keilor East', 'Sports', 'Football']"
Moonee Valley City Council,Walter Street Reserve,Ascot Vale,-37.776707,144.907981,Australian Rules Football,1.0,Grass,4. Good,Unisex,110 Walter Street Ascot Vale 3032,,,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Football']"
Moonee Valley City Council,Doutta Galla Ladies Badminton Club (Doutta Galla Youth Hall),North Essendon,-37.738961,144.902638,Badminton,1.0,,3. Average,"Female, Male",Corner Kerferd & McCulloch Street North Essendon 3041,,,,"['Moonee Valley City Council', 'North Essendon', 'Sports', 'Badminton']"
Moonee Valley City Council,Essendon Christ Church Badminton Club,Essendon,-37.756772,144.913693,Badminton,,,,,Corner Buckley Street & Mt Alexander Road Essendon 3040,,,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Badminton']"
Moonee Valley City Council,AJ Davis Reserve,Niddrie,-37.729161,144.87355,Cricket,1.0,Synthetic Pitch,3. Average,Unisex,300-320 Fullarton Road Niddrie 3042,,,,"['Moonee Valley City Council', 'Niddrie', 'Sports', 'Cricket']"
Moonee Valley City Council,Debney Park,Flemington,-37.785636,144.937395,Cricket,1.0,Synthetic Pitch,4. Good,Unisex,25 Mount Alexander Road Flemington 3031,,,,"['Moonee Valley City Council', 'Flemington', 'Sports', 'Cricket']"
Moonee Valley City Council,Doyle Reserve (Avondale Heights Reserve),Avondale Heights,-37.76268,144.858666,Cricket,1.0,Synthetic Pitch,4. Good,Unisex,Doyle Street Avondale Heights 3034,,,,"['Moonee Valley City Council', 'Avondale Heights', 'Sports', 'Cricket']"
Moonee Valley City Council,Fairbairn Park,Ascot Vale,-37.774044,144.897979,Cricket,8.0,Synthetic Pitch,2. Poor,Unisex,Woods Street Ascot Vale 3032,,,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Cricket']"
Moonee Valley City Council,Strathnaver Reserve,Strathmore Heights,-37.718403,144.90944300000000,Cricket,1.0,Synthetic Pitch,1. Very Poor,Male,1 Boeing Road Strathmore Heights 3041,,,,"['Moonee Valley City Council', 'Strathmore Heights', 'Sports', 'Cricket']"
Moonee Valley City Council,Riverside Golf and Tennis Centre,Ascot Vale,-37.776768,144.90096600000000,Golf,1.0,9 Hole Course - Public,4. Good,"Female, Male",75 Newsom Street Ascot Vale 3032,,,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Golf']"
Moonee Valley City Council,Essendon Hockey Centre,Ascot Vale,-37.776742,144.935917,Hockey,2.0,Artificial Turf,,Unisex,2 Hockey Lane Ascot Vale 3032,,,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Hockey']"
Moonee Valley City Council,PEGS Sports Field,Keilor East,-37.734239,144.870981,Hockey,2.0,Artificial Turf,,,"Penleigh & Essendon Grammar School East Keilor Campus, Susan Court, Valley Lake, Keilor East, City of Moonee Valley, Victoria, 3033, Australia",,,,"['Moonee Valley City Council', 'Keilor East', 'Sports', 'Hockey']"
Moonee Valley City Council,Niddrie Community Centre Netball Courts,Airport West,-37.7318,144.884284,Netball,3.0,Synthetic,,,27 Bowes Avenue Airport West 3042,,,,"['Moonee Valley City Council', 'Airport West', 'Sports', 'Netball']"
Moonee Valley City Council,JH Allan Reserve,Keilor East,-37.747538,144.857438,Soccer,1.0,Grass,4. Good,"Umpire/Officials, Unisex","Park Drive, Valley Lake, Keilor East, City of Moonee Valley, Victoria, 3033, Australia",,,,"['Moonee Valley City Council', 'Keilor East', 'Sports', 'Soccer']"
Moonee Valley City Council,Quinn Grove Reserve,East Keilor,-37.739438,144.872,Soccer,1.0,Artificial Turf,5. Very Good,Unisex,84 Quinn Grove East Keilor 3033,,,,"['Moonee Valley City Council', 'East Keilor', 'Sports', 'Soccer']"
Moonee Valley City Council,Indoor Soccer Headquarters,Airport West,-37.715962,144.889,Soccer (Indoor Soccer / Futsal),2.0,,,,8 Louise Street Airport West 3042,,,,"['Moonee Valley City Council', 'Airport West', 'Sports', 'Soccer']"
Moonee Valley City Council,Essendon Squash Courts,Moonee Ponds,-37.758,144.917,Squash / Racquetball,,,,,7 Carlyle Street Moonee Ponds 3039,,,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Squash']"
Moonee Valley City Council,Paul Saddler Swimland,Essendon,-37.748589,144.883248,Swimming,,,,,41a Rosehill Road Essendon 3040,,,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Swimming']"
Moonee Valley City Council,Queens Park Swimming Pool,Moonee Ponds,-37.761978000000000,144.925204,Swimming,,"25m Pool - Outdoor, 30m Pool - Outdoor, Toddlers Pool",2. Poor,"Female, Male",Corner The Strand & Pascoe Vale Road Moonee Ponds 3039,,,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Swimming']"
Moonee Valley City Council,Max Johnstone Reserve,Strathmore,-37.73377,144.919345,Tennis (Outdoor),5.0,Hard Court,2. Poor,,Corner Loeman and Napier Street Strathmore 3041,,,,"['Moonee Valley City Council', 'Strathmore', 'Sports', 'Tennis']"
Melton City Council,Arnolds Creek Recreation Reserve,Melton,-37.667209,144.546475,Australian Rules Football,1.0,Grass,Same as above,Same as above,Claret Ash Boulevard Melton 3337,,,,"['Melton City Council', 'Melton', 'Sports', 'Football']"
Melton City Council,Burnside Heights Recreation Reserve,Burnside Heights,-37.736311,144.754676,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Tenterfield Drive Burnside Heights 3023,,,,"['Melton City Council', 'Burnside Heights', 'Sports', 'Football']"
Melton City Council,Caroline Springs Town Centre Recreation Reserve,Caroline Springs,-37.733132,144.737208,Australian Rules Football,2.0,Grass,4. Good,"Female, Male",The Crossing Caroline Springs 3023,,,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Football']"
Melton City Council,Diggers Rest Recreation Reserve,Diggers Rest,-37.621057,144.708629,Australian Rules Football,2.0,Grass,3. Average,"Female, Male",Plumpton Road Diggers Rest 3427,,,,"['Melton City Council', 'Diggers Rest', 'Sports', 'Football']"
Melton City Council,Hillside Recreation Reserve,Hillside,-37.684739,144.738356,Australian Rules Football,1.0,Grass,4. Good,Unisex,Royal Crescent Hillside 3037,,,,"['Melton City Council', 'Hillside', 'Sports', 'Football']"
Melton City Council,Rockbank Recreation Reserve,Rockbank,-37.732548,144.659747,Australian Rules Football,1.0,Grass,3. Average,Unisex,Westcott Parade Rockbank 3335,,,,"['Melton City Council', 'Rockbank', 'Sports', 'Football']"
Melton City Council,Caroline Springs Leisure Centre,Caroline Springs,-37.732588,144.73988,Badminton,8.0,Wooden Flooring,5. Very Good,"Female, Male, Umpire/Officials",9-19 The Parade Caroline Springs 3023,,,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Badminton']"
Melton City Council,Banchory Avenue Tennis Court,Hillside,-37.688411,144.74898000000000,Basketball,1.0,Asphalt,3. Average,,Banchory Avenue Hillside 3037,,,,"['Melton City Council', 'Hillside', 'Sports', 'Basketball']"
Melton City Council,Eynesbury Tennis Centre,Eynesbury,-37.76724,144.562905,Basketball,1.0,Synthetic,,,Eynesbury Road Eynesbury 3338,,,,"['Melton City Council', 'Eynesbury', 'Sports', 'Basketball']"
Melton City Council,Melton Indoor Recreation Centre,Melton,-37.681499,144.567827,Basketball,3.0,Wooden Gymnasium,4. Good,"Female, Male",Coburns Road Melton 3337,,,,"['Melton City Council', 'Melton', 'Sports', 'Basketball']"
Melton City Council,Kurunjang Park Recreation Reserve,Melton,-37.671775,144.583759,Cricket,2.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Centenary Avenue Melton 3337,,,,"['Melton City Council', 'Melton', 'Sports', 'Cricket']"
Melton City Council,Melton Golf Range,Melton,-37.698673,144.603592,Golf,,,,,Ferris Road Melton 3337,,,,"['Melton City Council', 'Melton', 'Sports', 'Golf']"
Melton City Council,Heathdale Christian College (Formerly Mowbray College),Melton,-37.66960200000000,144.58118000000000,Hockey,1.0,Artificial Turf,,,Centenary Avenue Melton 3337,,,,"['Melton City Council', 'Melton', 'Sports', 'Hockey']"
Melton City Council,Melton Pistol Club,Melton South,-37.714241,144.547177,Shooting Sports,,,,,Clarkes Road Melton South 3338,,,,"['Melton City Council', 'Melton South', 'Sports', 'Shooting']"
Melton City Council,Springside Recreation Reserve,Caroline Springs,-37.711792,144.736895,Soccer,2.0,Artificial Turf,5. Very Good,"Umpire/Officials, Unisex",Lancefield Drive Caroline Springs 3023,,,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Soccer']"
Melton City Council,Melton Squash Central,Melton,-37.685548,144.582007,Squash / Racquetball,,,,,McKenzie Street Melton 3337,,,,"['Melton City Council', 'Melton', 'Sports', 'Squash']"
Melton City Council,State Swim Caroline Springs,Caroline Springs,-37.73443,144.738651,Swimming,,,4. Good,,16-24 The Parade Caroline Springs 3023,,,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Swimming']"
Melton City Council,Swimmers Learn to Swim,Melton South,-37.7,144.576,Swimming,,,4. Good,,30-36 Station Road Melton South 3338,,,,"['Melton City Council', 'Melton South', 'Sports', 'Swimming']"
Melton City Council,YMCA Kororoit Creek,Burnside Heights,-37.73455,144.752101,Swimming,,25m Pool - Indoor,,,5 Millport Drive Burnside Heights 3023,,,,"['Melton City Council', 'Burnside Heights', 'Sports', 'Swimming']"
Melton City Council,Melton Table Tennis Association (Victoria University),Melton South,-37.707164,144.565688,Table Tennis,10.0,Wooden Gymnasium,3. Average,,Rees Road Melton South 3338,,,,"['Melton City Council', 'Melton South', 'Sports', 'Table Tennis']"
Melton City Council,Parkwood Green Recreation Reserve,Hillside,-37.698748,144.746309,Tennis (Outdoor),6.0,Artificial Turf,4. Good,Unisex,Community Hub Hillside 3037,,,,"['Melton City Council', 'Hillside', 'Sports', 'Tennis']"
Melton City Council,Springlake Avenue Tennis Court,Caroline Springs,-37.752549,144.736848,Tennis (Outdoor),1.0,Plexipave,4. Good,,Springlake Avenue Caroline Springs 3023,,,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Tennis']"
Melton City Council,Toolern Vale Tennis Courts,Toorlern Vale,-37.608001,144.596038,Tennis (Outdoor),2.0,,3. Average,Unisex,Coimadai Road Toorlern Vale 3337,,,,"['Melton City Council', 'Toorlern Vale', 'Sports', 'Tennis']"
Melton City Council,West Melton Tennis Courts,Melton,-37.682446,144.56389,Tennis (Outdoor),8.0,Artificial Turf,2. Poor,"Female, Male",James Cook Drive Melton 3337,,,,"['Melton City Council', 'Melton', 'Sports', 'Tennis']"
Brimbank City Council,Ainsworth Reserve,Sunshine,-37.7868,144.800896,Australian Rules Football,1.0,Grass,,,Glengala Road Sunshine 3020,,,,"['Brimbank City Council', 'Sunshine', 'Sports', 'Football']"
Brimbank City Council,Cairnlea Park,Cairnlea,-37.75882100000000,144.79356300000000,Australian Rules Football,1.0,Grass,,,Furlong Road Cairnlea 3023,,,,"['Brimbank City Council', 'Cairnlea', 'Sports', 'Football']"
Brimbank City Council,Deer Park Reserve,Deer Park,-37.771846,144.77783200000000,Australian Rules Football,,Grass,,,Ballarat Road Deer Park 3023,,,,"['Brimbank City Council', 'Deer Park', 'Sports', 'Football']"
Brimbank City Council,Delahey Recreation Reserve,Delahey,-37.7164,144.7741,Australian Rules Football,,Grass,,,Goldsmith Avenue Delahey 3037,,,,"['Brimbank City Council', 'Delahey', 'Sports', 'Football']"
Brimbank City Council,Errington Reserve,St Albans,-37.745542,144.803277,Australian Rules Football,1.0,Grass,,,Percy Street St Albans 3021,,,,"['Brimbank City Council', 'St Albans', 'Sports', 'Football']"
Brimbank City Council,Green Gully Reserve,Keilor,-37.725518,144.818828,Australian Rules Football,1.0,Grass,,,Green Gully Road Keilor 3036,,,,"['Brimbank City Council', 'Keilor', 'Sports', 'Football']"
Brimbank City Council,Lionheart Reserve,Taylors Lakes,-37.708386,144.791658,Australian Rules Football,2.0,Grass,,,Lionheart Avenue Taylors Lakes 3038,,,,"['Brimbank City Council', 'Taylors Lakes', 'Sports', 'Football']"
Brimbank City Council,Selwyn Park,Albion,-37.781765,144.81416400000000,Australian Rules Football,1.0,Grass,,,Selwyn Street Albion 3020,,,,"['Brimbank City Council', 'Albion', 'Sports', 'Football']"
Brimbank City Council,Barclay Reserve,Albion,-37.78100900000000,144.825909,Baseball,1.0,,,,Talmage Street Albion 3020,,,,"['Brimbank City Council', 'Albion', 'Sports', 'Baseball']"
Brimbank City Council,Brimbank College,St Albans,-37.740071,144.784559,Basketball,,,,,Jamieson Street St Albans 3021,,,,"['Brimbank City Council', 'St Albans', 'Sports', 'Basketball']"
Brimbank City Council,Keilor Basketball Stadium,Keilor Park,-37.713334,144.848237,Basketball,3.0,,,,Stadium Drive Keilor Park 3042,,,,"['Brimbank City Council', 'Keilor Park', 'Sports', 'Basketball']"
Brimbank City Council,Sydenham Primary School,Sydenham,-37.702404,144.760113,Basketball,,,,,Community Hub Sydenham 3037,,,,"['Brimbank City Council', 'Sydenham', 'Sports', 'Basketball']"
Brimbank City Council,West Sunshine Community Centre,Sunshine,-37.798696,144.81219300000000,Basketball,,,,,25 Kermeen Street Sunshine 3020,,,,"['Brimbank City Council', 'Sunshine', 'Sports', 'Basketball']"
Brimbank City Council,Max Bowman Gymnasium,Sunshine,-37.783767,144.843339,Boxing,,,,,10 Dorothy Avenue Sunshine 3020,,,,"['Brimbank City Council', 'Sunshine', 'Sports', 'Boxing']"
Brimbank City Council,Arthur Beachley Reserve,Sunshine,-37.797168,144.823844,Cricket,1.0,,,,Ardoyne Street Sunshine 3020,,,,"['Brimbank City Council', 'Sunshine', 'Sports', 'Cricket']"
Brimbank City Council,Balmoral Park Reserve,Derrimut,-37.791913,144.76584500000000,Cricket,2.0,,,,Windsor Boulevard Derrimut 3030,,,,"['Brimbank City Council', 'Derrimut', 'Sports', 'Cricket']"
Brimbank City Council,Bon Thomas Reserve,Deer Park,-37.774227,144.763948,Cricket,2.0,Synthetic Pitch,,,Bayliss Road Deer Park 3023,,,,"['Brimbank City Council', 'Deer Park', 'Sports', 'Cricket']"
Brimbank City Council,Diamond Reserve,Albanvale,-37.74543900000000,144.774144,Cricket,1.0,Synthetic Pitch,,,Diamond Avenue Albanvale 3021,,,,"['Brimbank City Council', 'Albanvale', 'Sports', 'Cricket']"
Brimbank City Council,Loyd Reserve,St Albans,-37.764186,144.822827,Cricket,1.0,,,,Lurg Avenue St Albans 3021,,,,"['Brimbank City Council', 'St Albans', 'Sports', 'Cricket']"
Brimbank City Council,Deer Park Hall,Deer Park,-37.773404,144.774682,Dancing,,,,,50 Station Road Deer Park 3023,,,,"['Brimbank City Council', 'Deer Park', 'Sports', 'Dancing']"
Brimbank City Council,Glengala Community Centre,Sunshine,-37.790274,144.81663800000000,Dancing,,,,,Glengala Road Sunshine 3020,,,,"['Brimbank City Council', 'Sunshine', 'Sports', 'Dancing']"
Brimbank City Council,Old Shire Hall,Keilor,-37.719093,144.833525,Dancing,,,,,Old Calder Highway Keilor 3036,,,,"['Brimbank City Council', 'Keilor', 'Sports', 'Dancing']"
Brimbank City Council,St Albans Community Youth Club,St Albans,-37.745952,144.815068,Dancing,,,,,Main Road East St Albans 3021,,,,"['Brimbank City Council', 'St Albans', 'Sports', 'Dancing']"
Brimbank City Council,Urban Force Studio,Kealba,-37.740183,144.8272,Dancing,,,,,Sunshine Avenue Kealba 3021,,,,"['Brimbank City Council', 'Kealba', 'Sports', 'Dancing']"
Brimbank City Council,Keilor Public Golf Course and Driving Range,Keilor,-37.684865,144.793983,Golf,18.0,18 Hole Course - Public,,,540 Calder Highway Keilor 3036,,,,"['Brimbank City Council', 'Keilor', 'Sports', 'Golf']"
Brimbank City Council,Sunshine Golf Club,Derrimut,-37.793618,144.773947,Golf,1.0,18 Hole Course - Public,,,475 Mt Derrimut Road Derrimut 3020,,,,"['Brimbank City Council', 'Derrimut', 'Sports', 'Golf']"
Brimbank City Council,Copperfield Secondary College,Sydenham,-37.702186,144.760049,Netball,2.0,Asphalt,,,65-75 Community Hub Sydenham 3037,,,,"['Brimbank City Council', 'Sydenham', 'Sports', 'Netball']"
Brimbank City Council,Ardeer Reserve,Ardeer,-37.778452,144.806221,Soccer,1.0,Grass,,,8 Helene Street Ardeer 3022,,,,"['Brimbank City Council', 'Ardeer', 'Sports', 'Soccer']"
Brimbank City Council,Castley Reserve,Sunshine West,-37.791316,144.815455,Soccer,,,,,Simmie Street Sunshine West 3037,,,,"['Brimbank City Council', 'Sunshine West', 'Sports', 'Soccer']"
Brimbank City Council,Chaplin Reserve,Sunshine,-37.785266,144.828573,Soccer,1.0,Grass,,,112-116 Anderson Road Sunshine 3020,,,,"['Brimbank City Council', 'Sunshine', 'Sports', 'Soccer']"
Brimbank City Council,Churchill Reserve,St Albans,-37.733267,144.814423,Soccer,3.0,Grass,,,Fox Street St Albans 3021,,,,"['Brimbank City Council', 'St Albans', 'Sports', 'Soccer']"
Brimbank City Council,Keilor Lodge Reserve,Sydenham,-37.688274,144.777599,Soccer,2.0,Grass,,,Robertsons Road Sydenham 3037,,,,"['Brimbank City Council', 'Sydenham', 'Sports', 'Soccer']"
Brimbank City Council,Polish Sports and Recreation Centre,Albion,-37.770817,144.80674,Soccer,2.0,Grass,,,19 Carrington Drive Albion 3020,,,,"['Brimbank City Council', 'Albion', 'Sports', 'Soccer']"
Brimbank City Council,Deer Park Regional Community Sports Complex,Deer Park,-37.764058,144.774914,Swimming,,,,,Station Road Deer Park 3023,,,,"['Brimbank City Council', 'Deer Park', 'Sports', 'Swimming']"
Brimbank City Council,Flippers Swimming School,Sydenham,-37.697338,144.766512,Swimming,,,,,50 Trickey Avenue Sydenham 3037,,,,"['Brimbank City Council', 'Sydenham', 'Sports', 'Swimming']"
Brimbank City Council,Our Lady's Tennis Club,Sunshine,-37.785182,144.84217900000000,Tennis (Outdoor),4.0,,,,Devonshire Road Sunshine 3020,,,,"['Brimbank City Council', 'Sunshine', 'Sports', 'Tennis']"
Brimbank City Council,Overton Lea Reserve,Sydenham,-37.702497,144.763776,Tennis (Outdoor),4.0,,,,Overton Lea Boulevard Sydenham 3037,,,,"['Brimbank City Council', 'Sydenham', 'Sports', 'Tennis']"
Port Phillip City Council,Albert Park,Albert Park,-37.850701,144.970472,Australian Rules Football,,Grass,,,Aughtie Drive Albert Park 3206,,,,"['Port Phillip City Council', 'Albert Park', 'Sports', 'Football']"
Port Phillip City Council,Elwood Reserve,Elwood,-37.889417,144.98658600000000,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Beach Road Drive Elwood 3184,,,,"['Port Phillip City Council', 'Elwood', 'Sports', 'Football']"
Port Phillip City Council,J.L. Murphy Reserve,Port Melbourne,-37.833176,144.929121,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Williamstown Road Port Melbourne 3207,,,,"['Port Phillip City Council', 'Port Melbourne', 'Sports', 'Football']"
Port Phillip City Council,Peanut Farm Reserve,St Kilda,-37.870111,144.978461,Australian Rules Football,1.0,Grass,2. Poor,Male,Spenser Street St Kilda 3182,,,,"['Port Phillip City Council', 'St Kilda', 'Sports', 'Football']"
Port Phillip City Council,Melbourne Sports & Aquatic Centre,Albert Park,-37.842948,144.960718,Badminton,18.0,Wooden Gymnasium,,,Aughtie Drive Albert Park 3206,,,,"['Port Phillip City Council', 'Albert Park', 'Sports', 'Badminton']"
Port Phillip City Council,R.F. Julier Reserve,Port Melbourne,-37.837687,144.922502,Basketball,,,2. Poor,,Dunstan Parade Port Melbourne 3207,,,,"['Port Phillip City Council', 'Port Melbourne', 'Sports', 'Basketball']"
Port Phillip City Council,St Kilda Police & Citizens Youth Club,St Kilda,-37.865218,144.989122,Basketball,1.0,Wooden Gymnasium,2. Poor,"Female, Male",179 Inkerman Street St Kilda 3182,,,,"['Port Phillip City Council', 'St Kilda', 'Sports', 'Basketball']"
