Feature Type,Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Suburb,Categories
Park,Hobsons Bay City Council,Bruce Comben Reserve,144.7660745,-37.8725792,"Named after Bruce Comben. Bruce received the Order of Australia Medal (OAM) in 1983 for services to Local Government and the Community, was a Werribee Shire Councillor, and had a long association with the Carlton Football Club as a player, Committee member, and Vice President.",,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,C W Carlsson Reserve,144.79212819999995,-37.87986400000001,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,Cameron Avenue Reserve,144.7721098,-37.8679689,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,Cherry Lake Reserve,144.83227409999995,-37.86132960000001,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,Commonwealth Reserve,144.90402849999995,-37.8622753,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Cooper Reserve,144.8648611,-37.8365278,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Corination Reserve,144.8907856,-37.8455252,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Crofton Drive Reserve,144.88088430000005,-37.8622419,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Crofts Reserve,144.8332467,-37.8275325,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,Cropley Reserve,144.7763067,-37.848338,,,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,Cyril Curtain Reserve,144.89988269999995,-37.8710039,"Dr Curtain: 'An eminent local scientist and has made a great contribution to the preservation of the historic charm, and therefore desirability, of Williamstown.'",,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,D Grieve Reserve,144.7804167,-37.88430560000001,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,D Grleve Reserve,144.78099719999997,-37.885049,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,D K  Grant Reserve,144.8079167,-37.87875,"Named for Councillor D.K. Grant, who held various positions in the community, including Mayor of the City of Altona (1970-71, 1977-78, 1985-86), Chairman of the Altona  Bicentennial Committee, and Anglican Church Warden for 23 years. ",,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,D N Duane Reserve,144.84265369999997,-37.8231248,"Named for Councillor D. N. Duane, who held various positions in the community, including Mayor (1980/1) of the City of Altona. ",,Brooklyn,"['Hobsons Bay City Council', 'Brooklyn', 'Park']"
Park,Hobsons Bay City Council,Dennis Reserve,144.89552769999997,-37.8597004,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Dick Murdoch Reserve,144.7726472,-37.8535121,"Named after Mr Dick Murdoch who was Councillor with the former City of Altona and following amalgamation continued with Hobsons Bay City Council where he served as Mayor from 1999-2000.  Mr Murdoch initiated a number of programs including the Mayor's Arts Program, Annual Garden Awards and Junior council program.  ",,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,Digman Reserve,144.8903878,-37.8396925,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Donald Mclean Reserve,144.8839022,-37.8266537,,,Spotswood,"['Hobsons Bay City Council', 'Spotswood', 'Park']"
Park,Hobsons Bay City Council,Doug Grant Reserve,144.8098033,-37.8773037,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,Ducrow Reserve,144.8765228,-37.8357405,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Duke Street Reserve,144.8462836,-37.8343951,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,E G Smith Reserve,144.8811035,-37.82941029999999,,,Spotswood,"['Hobsons Bay City Council', 'Spotswood', 'Park']"
Park,Hobsons Bay City Council,Edwards Reserve,144.8700918,-37.8276645,,,South Kingsville,"['Hobsons Bay City Council', 'South Kingsville', 'Park']"
Park,Hobsons Bay City Council,F A Emery Reserve,144.8207326,-37.8615891,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,F Rush Reserve,144.8178485,-37.85525689999999,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,Fearon Reserve,144.895143,-37.86698079999999,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Fell Reserve,144.84339690000004,-37.8603474,,,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,Frank Gibson Reserve,144.7691346,-37.8609099,"'Mr. Gibson was a Councillor of the Shire of Werribee from 1962 to 1968, and from 1971 to 1972.  Mr. Gibson has resided in the Laverton area since approximately 1940 and has been a most popular resident of the area due to his community spirited actions.  He was either a player, Captain or President of the Laverton Cricket Club for more than 30 years and is the first Honourary Life Member of that Club.  He was also a most active footballer with the Laverton Football Club for many years and again is a Life Member of that Club.'",,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,G Den Dulk Reserve,144.8089982,-37.8715484,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,G F Stirling Reserve,144.7864844,-37.8766432,Named after the Victorian Legislative Assembly member for Williamstown from May 1973 to August 1988. ,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,G H Ransom Reserve,144.81687480000005,-37.8731065,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,G J Hosken Reserve,144.83437769999995,-37.8307897,"Named for Councillor G.J. Hoskenm who held various positions in the community, including as Mayor of the City of Altona (1983-84). ",,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,Gloucester Reserve,144.8864925,-37.86796,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Grant Reserve,144.82986110000004,-37.8629167,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,Gray Reserve,144.889452,-37.8593399,"Named after Lieutenant General Leslie James Morshead

Leslie Morshead won fame as the defender of Tobruk during the Second World War and is among the most renowned Australian divisional commanders of that war. He was born at Ballarat in Victoria on 18 September 1889 and became a teacher. Joining the AIF in September 1914 as a lieutenant, Morshead was posted to the 2nd Battalion. 

By the time he landed at Gallipoli on 25 April 1915 he was a captain; by August, when he fought at Lone Pine, he had been promoted to major. After Gallipoli he was promoted to lieutenant colonel and given command of the 33rd Battalion, which arrived in France in November 1916. Morshead led the battalion successfully through Messines and the Passchendaele campaign of late-1917, was awarded the Distinguished Service Order, and continued to command through the battles Villers-Bretonneux and Amiens in 1918. 

Morshead joined General Monash's staff for the demobilisation of the AIF and returned to Sydney in December 1919. He married Myrtle Woodside in November 1921. Having failed to make a success of a soldier-settlers' block in Queensland, Morshead returned to Sydney to work in shipping, gaining promotions and posts in several Australian cities and in England. 

He remained active in the militia, commanding two battalions and reaching the rank of temporary brigadier. In October 1939 he was given command of the 18th Brigade, sailing for Britain in May 1940. The following February Morshead was promoted to major general in command of the 9th Division, then in the Middle East. Reputed to be a tough commander who could be blunt with senior officers, Morshead led his division through the siege of Tobruk where his aggressive defence denied the Germans a breakthrough but earned him the ire of some subordinates concerned at the level of losses. 

His success at Tobruk was followed by promotion to lieutenant general and command of the AIF in the Middle East. Morshead, at the risk of alienating his British superiors, argued to keep the 9th Division together in the face of British demands to detach individual brigades. He led the division through the battle of El Alamein, where the 9th Division's contribution was considered vital to the victory. During the battle, he regularly visited both the front and the wounded behind the lines. 

Returning to Australia in 1943, Morshead took command of II Corps in October and then in November was elevated to command both New Guinea Force and the Second Australian Army. In May 1944 he was given command of I Corps, leading them through the final battles of the war in Borneo. After the war, he chaired a military court of enquiry into Major General Bennett's departure from Singapore in February 1942. 

Morshead refused offers of military and diplomatic posts, as well as the governorship of Queensland, returning instead to the shipping industry as manager of the New South Wales branch of the Orient Line; later he became its Australian general manager. He held a number of other directorships and civil appointments and was involved in right-wing politics before becoming ill with cancer in the mid-1950s. Morshead died in Sydney on 26 September 1959.",https://www.awm.gov.au/collection/P10676535,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Greenwich Reserve,144.8986631,-37.8514454,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,H C Kim Reserve,144.8428276,-37.8621391,,,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,H D Graham Reserve,144.7961982,-37.8786886,'Mayor - City of Altona.  1982 - 83.',,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,H W Lee Reserve,144.83229440000005,-37.87045850000001,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,H Weaver Reserve,144.8309722,-37.87013889999999,Named after a former Councillor and Mayor of the City of Altona.,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,Harris Reserve,144.83708330000005,-37.8331944,"Honours Leslie Charles Harris and his wife, Mary Heather Bell Harris, for their work in support of the Altona District Hospital.  Previously known as the Marsh Street Reserve.",,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,Henderson Street Reserve,144.7765977,-37.8498689,,,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,Hoddle Way Reserve,144.7843671,-37.8880256,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,Hoffman Reserve,144.87806799999996,-37.8405713,"'According to the Council, the late Mr. Hoffman served on Council from 1962 to 1977 and was Mayor on two occasions.  Council has also advised that Mr. Hoffman 'contributed materially to sport and recreation in the district by a long association with its Recreation and Leisure Consultative Committee'.'",,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Irwin Reserve,144.8531944,-37.8451389,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,J  Murphy Reserve,144.7826389,-37.8845833,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,J E Obrien Reserve,144.77936430000003,-37.8866436,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,J F O'Brien Reserve,144.7793056,-37.88625,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,J I Stewart Reserve,144.79125,-37.8673611,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,J J Ginifer Reserve,144.8427929,-37.83943060000001,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,J K Grant Reserve,144.8289105,-37.8620737,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,J T Gray Reserve,144.8640176,-37.8560436,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Jack Madigan Reserve,144.8727491,-37.8417968,John Madigan was a Councillor and Mayor of the City of Williamstown. He held numerous positions in the Williamstown community.,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Jackson Reserve,144.8877699,-37.8503778,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Jamison Street Reserve,144.7749877,-37.8653098,,,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,Jawbone Conservation Reserve,144.87514040000005,-37.86156679999999,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,John Morley Reserve,144.9029167,-37.85875,'Mr Morley served this municipality as Town Clerk from 1947 to 1977.',,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Jubilee Street Reserve,144.8706013,-37.8473684,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,K C White Reserve,144.87727230000004,-37.8536011,,,Williamstown North,"['Hobsons Bay City Council', 'Williamstown North', 'Park']"
Park,Hobsons Bay City Council,Kim Reserve,144.84125,-37.8629167,,,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,Kohry Reserve,144.8832045,-37.8385598,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Laverton Creek Reserve,144.7689389,-37.8581397,,,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,Laverton Recreation Reserve,144.7845833,-37.8620833,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,Leicester Square Reserve,144.84259540000005,-37.8636201,,,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,Loft Reserve,144.867804,-37.842712,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Logan Reserve,144.8306268,-37.87032120000001,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,Lohse Street Reserve,144.7719324,-37.862867,,,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,Lynch Road Reserve,144.8411111,-37.8247222,,,Brooklyn,"['Hobsons Bay City Council', 'Brooklyn', 'Park']"
Park,Hobsons Bay City Council,Maclean Reserve,144.9018045,-37.8635048,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Market Street Reserve,144.87770049999997,-37.8477547,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Mary Street Reserve,144.8800841,-37.8276345,,,Spotswood,"['Hobsons Bay City Council', 'Spotswood', 'Park']"
Park,Hobsons Bay City Council,Mccormack Park,144.77502090000004,-37.8581673,,,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,Newport Lakes Reserve,144.87177,-37.8377223,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Newport Park,144.8943602,-37.8439732,'The name is commemorative of the establishment of a new port on the Saltwater River.',,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Norah Mcintyre Reserve,144.8464529,-37.85983020000001,Named after a noted charity worker in the community.,,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,North Williamstown Station Reserve,144.8883704,-37.8569303,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Paine Reserve,144.88195290000004,-37.843188,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Paisley Park,144.8581138,-37.8415472,"'...the name 'Paisley' derives from a industrial and residential area of the same name in Scotland, near Glasgow'",,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,Point Gellibrand Coastal Heritage Park,144.90966569999995,-37.867942,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Quarry Reserve,144.8751469,-37.851842100000006,,,Williamstown North,"['Hobsons Bay City Council', 'Williamstown North', 'Park']"
Park,Hobsons Bay City Council,Queen Street Reserve,144.79007980000003,-37.8745939,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,R Frazer Reserve,144.8384383,-37.8709935,,,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,R J Cooper Reserve,144.8595186,-37.8353681,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,R K Richards Reserve,144.7816079,-37.8829348,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,R V Long Reserve,144.87519440000003,-37.8558326,,,Williamstown North,"['Hobsons Bay City Council', 'Williamstown North', 'Park']"
Park,Hobsons Bay City Council,Railway Reserve (Laverton),144.7674764,-37.865223,,,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,Riverside Park,144.8953208,-37.8360661,,,Spotswood,"['Hobsons Bay City Council', 'Spotswood', 'Park']"
Park,Hobsons Bay City Council,Robertson Reserve,144.9011019,-37.8648108,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Ross Street Reserve,144.88160990000003,-37.8379043,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Rotary Park,144.9049362,-37.8671803,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,S Fell Reserve,144.84375,-37.8604167,"Named for a former CEO, Deputy Town Clark and Town Clark of City of Altona.",,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,S G Mcintosh Reserve,144.8451669,-37.8650261,,,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,S J Clement Reserve,144.8528688,-37.846354,"'Mayor - City of Altona 1979/80, 1987/88'",,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,Sadler Reserve,144.8928425,-37.866835,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Samuel Kohry Reserve,144.88291669999995,-37.8384722,"'Mr. Khory arrived in Melbourne on August, 1855 and taught at the Newport State School No. 113 from 1st April, 1866 until his retirement as Head Teacher on the 30th November, 1893.'  'Mr. Khory was a well-respected citizen of his day and exerted a great influence for good among the youth with whom he came in contact and many of his pupils later became citizens of note in the Community.'",,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Sandstone Point Reserve,144.7541814,-37.88410220000001,,,Seabrook,"['Hobsons Bay City Council', 'Seabrook', 'Park']"
Park,Hobsons Bay City Council,St Anthony Court Reserve,144.7529168,-37.8798187,,,Seabrook,"['Hobsons Bay City Council', 'Seabrook', 'Park']"
Park,Hobsons Bay City Council,Stony Creek Backwash,144.8984542,-37.827227,,,Port Melbourne,"['Hobsons Bay City Council', 'Port Melbourne', 'Park']"
Park,Hobsons Bay City Council,The Memorial Park,144.8947769,-37.8283748,,,Spotswood,"['Hobsons Bay City Council', 'Spotswood', 'Park']"
Park,Hobsons Bay City Council,V L Hearn Reserve,144.8442882,-37.8323991,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,Veterans Reserve,144.8808645,-37.8280477,,,Spotswood,"['Hobsons Bay City Council', 'Spotswood', 'Park']"
Park,Hobsons Bay City Council,W E Hubble Reserve,144.78312169999995,-37.89125870000001,"Named for Councillor W.E. Hubble, who held numerous positions in the community, including Commissioner of Affidavits, Honorary Probation Officer, and Foster Parent. ",,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,W G Cresser Reserve,144.8455171,-37.8668928,,,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,W J Irwin Reserve,144.8501567,-37.8425662,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,W L Floyd Reserve,144.8634581,-37.8406467,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Williamstown Junction Reserve,144.885387,-37.8479744,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Williamstown Railway Reserve,144.8966037,-37.8650068,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Woods Street Median Resere (Newport),144.88002880000005,-37.8465141,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Woods Street Reserve (Laverton),144.7740228,-37.8612278,,,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Mornington Peninsula Shire Council,A C Campbell Reserve,145.0310906,-38.23985820000001,"Archibald Colin Campbell was a Mornington Shire Councillor in the South Riding from 1948-51, and again from 1966-71. He represented Mt Martha Riding from 1955-1966.  He was Mornington Shire President in 1957, and again in 1965.  He opened the Beleura Hill Pre-school Centre, Mornington as Shire President in 1966.",,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Park']"
