Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Suburb,Categories
Yarra Ranges Shire Council,Wandin Yallock Parish,145.4529167,-37.8031944,Traditional name: Wandin Yalloak.  'means running creek or rivulet.',,Wandin East,"['Yarra Ranges Shire Council', 'Wandin East', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Warburton Parish,145.7226389,-37.7820833,,,Warburton,"['Yarra Ranges Shire Council', 'Warburton', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Woori Yallock Parish,145.5765278,-37.8101389,,,Woori Yallock,"['Yarra Ranges Shire Council', 'Woori Yallock', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Yering Parish,145.3743056,-37.71736110000001,"Traditional meaning: 'Yerrang' (erroneously called 'Yering'), scrubby.  The flats of the Yarra were once covered with scrub.'  'Yerring: 'beard.'",,Coldstream,"['Yarra Ranges Shire Council', 'Coldstream', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Youarrabuk Parish,146.0351389,-37.5840278,"Parish, south-western Big River basin (west of St. Clair parish); includes Boundary Creek (1), Little Creek and Shaws Creek, and the confluence of Oaks and Springs Creeks to form the Big River. Aboriginal (Woiworung or Bunurong): accelerate, eagerly, keenly, haste, quickly (Bunce; Smyth, 1878); accelerate (Saxton); accelerate, faster (Massola, 1968).",,McMahons Creek,"['Yarra Ranges Shire Council', 'McMahons Creek', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Yuonga Parish,145.6804167,-37.7276389,,,Wesburn,"['Yarra Ranges Shire Council', 'Wesburn', 'Worship', 'Parish', 'Christian']"
Frankston City Council,Frankston Parish,145.1451389,-38.1701389,'Named in 1854 after Charles Franks',,Frankston South,"['Frankston City Council', 'Frankston South', 'Worship', 'Parish', 'Christian']"
Frankston City Council,Lyndhurst Parish,145.2065278,-38.08375,"'Named after Lord Lyndhurst, Lord Chancellor of England.'",,Sandhurst,"['Frankston City Council', 'Sandhurst', 'Worship', 'Parish', 'Christian']"
Whitehorse City Council,Nunawading Parish,145.1648611,-37.8279167,"Traditional Name: Nunawading Explanation: N/A Discussion on Current Name: Melbourne suburb,  once called Tunstall,  Thomas map 1840.",http://www.vaclang.org.au,Blackburn,"['Whitehorse City Council', 'Blackburn', 'Worship', 'Parish', 'Christian']"
Boroondara City Council,Boroondara Parish,145.0676389,-37.8129167,It is thought that Boroondara is an Aboriginal word meaning shady place.,https://www.victorianplaces.com.au/boroondara,Deepdene,"['Boroondara City Council', 'Deepdene', 'Worship', 'Parish', 'Christian']"
Greater Dandenong City Council,Dandenong Parish,145.19097219999998,-37.9715278,"'The town was called after the creek.  Writing of the creek, in 1837, Captain Lonsdale spelt the name 'Dan-y-nong.'  The first surveyor, in the 'forties,' wrote it as 'Tangenong.'",,Noble Park,"['Greater Dandenong City Council', 'Noble Park', 'Worship', 'Parish', 'Christian']"
Greater Dandenong City Council,Eumemmerring Parish,145.2479167,-38.0220833,,,Hampton Park,"['Greater Dandenong City Council', 'Hampton Park', 'Worship', 'Parish', 'Christian']"
Manningham City Council,Bulleen Parish,145.1529167,-37.7665278,"Traditional Name: Bulen-bulen Explanation: lyrebird Discussion on Current Name: Aboriginal encampment at Bolin (Robinson) [Bullen bullen = lyrebird],  Robinson jnl, 30/8/1840.",http://www.vaclang.org.au,Templestowe,"['Manningham City Council', 'Templestowe', 'Worship', 'Parish', 'Christian']"
Manningham City Council,Warrandyte Parish,145.2529167,-37.76430560000001,"Traditional Name: Warrandyte Explanation: N/A Discussion on Current Name: township by Yarra River; in 1845 James Dawson n his pastoral stn after Aboriginal n; from 1865 - 1908, n of Anderson's Creek was used; Massola 1968: 51.",http://www.vaclang.org.au,Warranwood,"['Manningham City Council', 'Warranwood', 'Worship', 'Parish', 'Christian']"
Knox City Council,Scoresby Parish,145.2823611,-37.866805600000006,,,Boronia,"['Knox City Council', 'Boronia', 'Worship', 'Parish', 'Christian']"
Port Phillip City Council,Melbourne South Parish,144.9568056,-37.83625,,,South Melbourne,"['Port Phillip City Council', 'South Melbourne', 'Worship', 'Parish', 'Christian']"
Brimbank City Council,Maribyrnong Parish,144.7776389,-37.7123611,,,Delahey,"['Brimbank City Council', 'Delahey', 'Worship', 'Parish', 'Christian']"
Nillumbik Shire Council,Greensborough Parish,145.2118056,-37.63041670000001,,,Hurstbridge,"['Nillumbik Shire Council', 'Hurstbridge', 'Worship', 'Parish', 'Christian']"
Nillumbik Shire Council,Nillumbik Parish,145.1851389,-37.69680560000001,"Reputedly an Aboriginal word 'nyilumbik' meaning 'no good', 'stupid' or 'red earth'.  An early settler name for the Diamond Creek area.  ",,Research,"['Nillumbik Shire Council', 'Research', 'Worship', 'Parish', 'Christian']"
Nillumbik Shire Council,Queenstown Parish,145.3123611,-37.5968056,,,St Andrews,"['Nillumbik Shire Council', 'St Andrews', 'Worship', 'Parish', 'Christian']"
Kingston City Council,Moorabbin Parish,145.0415278,-37.94125,"Traditional Name: Moorabbin Explanation: N/A Discussion on Current Name: SE Melbourne suburb and former municipality,  Parish, Co of Bourke,  once known as South Brighton,  Massola 1968: 35.",http://www.vaclang.org.au,Moorabbin,"['Kingston City Council', 'Moorabbin', 'Worship', 'Parish', 'Christian']"
Kingston City Council,Mordialloc Parish,145.12069440000005,-37.95875,"Traditional Name: Murdayaluk Explanation: murda = low/short,  yaluk = river/creek Discussion on Current Name: Robinson noted Maj Frazer's stn at Mooddealloke, 1840,  Robinson jnl, 26/7/1840.",http://www.vaclang.org.au,Clayton South,"['Kingston City Council', 'Clayton South', 'Worship', 'Parish', 'Christian']"
Yarra City Council,Melbourne North Parish,144.97930559999998,-37.7995833,,,Fitzroy,"['Yarra City Council', 'Fitzroy', 'Worship', 'Parish', 'Christian']"
Monash City Council,Mulgrave Parish,145.1476389,-37.8881944,,,Glen Waverley,"['Monash City Council', 'Glen Waverley', 'Worship', 'Parish', 'Christian']"
Wyndham City Council,Bulban Parish,144.5198611,-37.91986110000001,,,Werribee,"['Wyndham City Council', 'Werribee', 'Worship', 'Parish', 'Christian']"
Wyndham City Council,Deutgam Parish,144.7281944,-37.92125,,,Point Cook,"['Wyndham City Council', 'Point Cook', 'Worship', 'Parish', 'Christian']"
Wyndham City Council,Mambourin Parish,144.61125,-37.9126389,Traditional Name: Mambourin Explanation: n of a Wathawurrung clan head Discussion on Current Name: Blake 1977: 169.,http://www.vaclang.org.au,Werribee,"['Wyndham City Council', 'Werribee', 'Worship', 'Parish', 'Christian']"
Wyndham City Council,Mouyong Parish,144.4801389,-37.8215278,"Traditional Name: Mouyong Explanation: N/A Discussion on Current Name: n of pastoral run,  Lands Dept 1865 map in Osborn 1973.",http://www.vaclang.org.au,Quandong,"['Wyndham City Council', 'Quandong', 'Worship', 'Parish', 'Christian']"
Wyndham City Council,Tarneit Parish,144.67708330000005,-37.84625,Traditional Name: Tarneit Explanation: N/A Discussion on Current Name: district 5km from Werribee; n offormer SS; Blake 1977: 252.,http://www.vaclang.org.au,Tarneit,"['Wyndham City Council', 'Tarneit', 'Worship', 'Parish', 'Christian']"
Wyndham City Council,Werribee Parish,144.5826389,-37.8434722,"'Backbone, spine.  The name was first applied to the river.  In 1824, Hume and Hovell called it the 'Arndell,' after Dr. Arndell, of Sydney.  It was variously described by Wedge, the surveyor, as the 'Peel' and the 'Weiribee.'",,Manor Lakes,"['Wyndham City Council', 'Manor Lakes', 'Worship', 'Parish', 'Christian']"
Whittlesea City Council,Linton Parish,145.19375,-37.5345833,'Named after Mr. Linton of Linton Park. Gold was discovered upon his station.  The 'diggings' and the township took his name.',,Humevale,"['Whittlesea City Council', 'Humevale', 'Worship', 'Parish', 'Christian']"
Whittlesea City Council,Merriang Parish,145.0073611,-37.4793056,"Traditional Name: Merriang Explanation: N/A Discussion on Current Name: township N of Melbourne nr Whittlesea,  Massola 1968: 34.",http://www.vaclang.org.au,Beveridge,"['Whittlesea City Council', 'Beveridge', 'Worship', 'Parish', 'Christian']"
Whittlesea City Council,Morang Parish,145.0904167,-37.6356944,"Reputedly an Aboriginal word for 'sky' or 'very dark' ('morrang'), but note that Smyth's list was compiled for parts of Victoria well beyond the Plenty River valley.",,South Morang,"['Whittlesea City Council', 'South Morang', 'Worship', 'Parish', 'Christian']"
Whittlesea City Council,Toorourrong Parish,145.1143056,-37.491805600000006,"In 1840, name of a pastoral station in the Plenty Range.  Reputedly an Aboriginal word for 'snake' or 'good grass'.  But also see R.B. Smyth, The Aborigines of Victoria, Vol.II, p.124 ('laughing jackass').",,Whittlesea,"['Whittlesea City Council', 'Whittlesea', 'Worship', 'Parish', 'Christian']"
Whittlesea City Council,Wollert Parish,145.00125,-37.62430560000001,"Traditional Name: Walert Explanation: possum Discussion on Current Name: farming district; Parish, Co of Bourke; n of Charles Campbell's stn squatted fr 1840; Blake 1991",http://www.vaclang.org.au,Epping,"['Whittlesea City Council', 'Epping', 'Worship', 'Parish', 'Christian']"
Whittlesea City Council,Yan Yean Parish,145.1023611,-37.5629167,"O'Callaghan writes: 'Name of a native chief who signed the Batman treaty in 1835.  John Batman wrote the name 'Yan Yan.'  It means bachelor, unmarried, boyish, young male.'",,Woodstock,"['Whittlesea City Council', 'Woodstock', 'Worship', 'Parish', 'Christian']"
Hume City Council,Bollinda Parish,144.79986110000004,-37.5323611,,,Wildwood,"['Hume City Council', 'Wildwood', 'Worship', 'Parish', 'Christian']"
Hume City Council,Bulla Bulla Parish,144.81152780000005,-37.60125,,,Wildwood,"['Hume City Council', 'Wildwood', 'Worship', 'Parish', 'Christian']"
Hume City Council,Buttlejorrk Parish,144.68902780000005,-37.5356944,"Reputedly of Aboriginal origin, based on 'bukirn' meaning head band, and 'jork' meaning reeds i.e. a head band made of reeds.  ",,Sunbury,"['Hume City Council', 'Sunbury', 'Worship', 'Parish', 'Christian']"
Hume City Council,Mickleham Parish,144.89708330000005,-37.5404167,,,Mickleham,"['Hume City Council', 'Mickleham', 'Worship', 'Parish', 'Christian']"
Hume City Council,Tullamarine Parish,144.8456944,-37.6756944,"Traditional Name: Tullamarine Explanation: personal name Discussion on Current Name: Melbourne international airport; suburb of Melbourne; in 1837 George Langhorne informed surveyor Robert Hoddle that Tullamareena was a small Wurundjeri boy; n after a flower, according to Howitt poem (Blake 1977: 261); Howitt in Blake 1977: 261.",http://www.vaclang.org.au,Melbourne Airport,"['Hume City Council', 'Melbourne Airport', 'Worship', 'Parish', 'Christian']"
Hume City Council,Will-Will-Rook Parish,144.94152780000005,-37.6873611,Name of Neil Campbell's pastoral station.  Reputedly an Aboriginal word for place of curlews.,,Broadmeadows,"['Hume City Council', 'Broadmeadows', 'Worship', 'Parish', 'Christian']"
Hume City Council,Yuroke Parish,144.9095833,-37.6145833,,,Greenvale,"['Hume City Council', 'Greenvale', 'Worship', 'Parish', 'Christian']"
Melton City Council,Derrimut Parish,144.7506944,-37.7793056,"Traditional Name: Derrimut Explanation: Yalukit willam clan leader in the 19th century Discussion on Current Name: also known as Laverton North (Melway 1982),  Parish, Co of Bourke, farming district, suburb of Melbourne, and according to Blake (1977: 81), original n for Deer Park,  also Mt Derrimut,  Blake 1977: 81,  Clark 1990a: 369.",http://www.vaclang.org.au,Ravenhall,"['Melton City Council', 'Ravenhall', 'Worship', 'Parish', 'Christian']"
Melton City Council,Djerriwarrh Parish,144.5620833,-37.6765278,,,Melton West,"['Melton City Council', 'Melton West', 'Worship', 'Parish', 'Christian']"
Melton City Council,Holden Parish,144.7079167,-37.61819439999999,"Three possible origins: (1) Named after Annie Holden, wife of George Evans (married 11 April 1843), who settled at Emu Bottom in 1836. (2) Named after Mr Holden, secretary to Sir Richard Bourke (see 'History Magazine', Vol.13, p.60). (3) Named after a locality NW of Bradford, Engalnd.",,Diggers Rest,"['Melton City Council', 'Diggers Rest', 'Worship', 'Parish', 'Christian']"
Melton City Council,Kororoit Parish,144.64652780000003,-37.6970833,Reputedly from an Aboriginal word for 'male kangaroo'.,,Bonnie Brook,"['Melton City Council', 'Bonnie Brook', 'Worship', 'Parish', 'Christian']"
Melton City Council,Mooradoranook Parish,144.5370833,-37.75069439999999,,,Eynesbury,"['Melton City Council', 'Eynesbury', 'Worship', 'Parish', 'Christian']"
Melton City Council,Pywheitjorrk Parish,144.6384722,-37.7690278,,,Mount Cottrell,"['Melton City Council', 'Mount Cottrell', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Bylands Parish,144.97347219999997,-37.3454167,"'Named after two places in England.  Byland, old, and Byland with Wass, Yorkshire.'",,Wandong,"['Mitchell Shire Council', 'Wandong', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Clonbinane Parish,145.1295833,-37.3334722,,,Clonbinane,"['Mitchell Shire Council', 'Clonbinane', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Derril Parish,145.20486110000004,-37.3526389,"Traditional Name: Derril Explanation: brown ochre Discussion on Current Name: also Terrel, in district of Rivers Loddon, Avoca, Richardson, Wimmera and Upper Hopkins, or NW Victoria (Smyth 1878),  Pascoe Papers 1999,  Blake 2001.",http://www.vaclang.org.au,Clonbinane,"['Mitchell Shire Council', 'Clonbinane', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Forbes Parish,144.88763889999996,-37.31319439999999,Rev. James Forbes was the second Presbyterian clergyman to arrive in Melbourne.,,Kilmore,"['Mitchell Shire Council', 'Kilmore', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Glenaroua Parish,144.9756944,-37.0993056,,,Sugarloaf Creek,"['Mitchell Shire Council', 'Sugarloaf Creek', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Glenburnie Parish,145.0401389,-37.3015278,,,Kilmore East,"['Mitchell Shire Council', 'Kilmore East', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Glenhope Parish,144.64125,-37.0715278,,,Tooborac,"['Mitchell Shire Council', 'Tooborac', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Kobyboyn Parish,145.38763889999996,-37.0434722,"Highlands. Parish, locality. State school (1886-88, 1895 - 1920). Aboriginal (Taungurong): kobi, medicine man, and boyla, sorcerer (Les Blake). (The Kobyboyn Ranges* are south of Mount Bernard* and east of the Smith Range and Callen Range*.) See also Habbie's Howe.",,Highlands,"['Mitchell Shire Council', 'Highlands', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Mangalore Parish,145.20625,-36.9551389,"The locality 'was once part of a pastoral station taken up, in 1838, by Colonel Joseph Anderson, for himself and for his brother, Lieutenant-General John Anderson.  The name 'Mangalore,' was that of the military station in India at which Lieutenant-General Anderson was then serving.'",,Seymour,"['Mitchell Shire Council', 'Seymour', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Moormbool East Parish,144.9879167,-36.84625,,,Puckapunyal,"['Mitchell Shire Council', 'Puckapunyal', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Moranding Parish,144.9343056,-37.2156944,Traditional name: Moraangtin.  'Hand',,Willowmavin,"['Mitchell Shire Council', 'Willowmavin', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Northwood Parish,145.08625,-36.94986110000001,,,Hilldene,"['Mitchell Shire Council', 'Hilldene', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Panyule Parish,144.8826389,-37.04375,,,Tooborac,"['Mitchell Shire Council', 'Tooborac', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Puckapunyal Parish,144.9884722,-36.95986110000001,"Traditional Name: Puckapunyal Explanation: panyul = mountain Discussion on Current Name: township,  Parish, Co of Dalhousie,  creek,  Massola 1968: 42.",http://www.vaclang.org.au,Puckapunyal,"['Mitchell Shire Council', 'Puckapunyal', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Pyalong Parish,144.8270833,-37.1445833,'Signifies two small waterholes'.  'The name was given by Mr. A. F. Mollison to his pastoral station in 1837.',,Pyalong,"['Mitchell Shire Council', 'Pyalong', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Seymour Parish,145.1193056,-37.02430560000001,"Former shire (1871 - 1994); town*. Named by Major Sir Thomas Mitchell in 1843 after Lord Seymour, minister in Lord Melbourne's cabinet. Old French: Saint Maur[o].",,Seymour,"['Mitchell Shire Council', 'Seymour', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Spring Plains Parish,144.62847219999998,-37.0118056,,,Tooborac,"['Mitchell Shire Council', 'Tooborac', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Tallarook Parish,145.1951389,-37.0443056,"Traditional Name: Tal/arook Explanation: N/A Discussion on Current Name: Parish,CQof Anglesey township S of Seymour; also Mt Tallarook; Massola 1968: 46.",http://www.vaclang.org.au,Whiteheads Creek,"['Mitchell Shire Council', 'Whiteheads Creek', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Tooborac Parish,144.7726389,-37.0415278,Traditional Name: Tourbouric Explanation: N/A Discussion on Current Name: rly stn on Wallan to Bendigo line; n originally applied to a large hill nr the 'Tourbouric' home station; Q'CaIlaghan 1918: 90.,http://www.vaclang.org.au,Tooborac,"['Mitchell Shire Council', 'Tooborac', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Wallan Wallan Parish,145.0618056,-37.4226389,"Traditional name: Walla Walla. 'Much rain, a great flood.' 'Wallan-wallan,' 'round'.",,Upper Plenty,"['Mitchell Shire Council', 'Upper Plenty', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Warrowitue Parish,144.87847219999998,-36.94986110000001,"Traditional Name: Warrowitur Explanation: a camping-ground Discussion on Current Name: Parish, Co of Dalhousie; Spieseke in Smyth 1878b: 209; Massola 1968: 52. ",http://www.vaclang.org.au,Puckapunyal,"['Mitchell Shire Council', 'Puckapunyal', 'Worship', 'Parish', 'Christian']"
Mitchell Shire Council,Willowmavin Parish,144.92013889999996,-37.2759722,,,Kilmore,"['Mitchell Shire Council', 'Kilmore', 'Worship', 'Parish', 'Christian']"
